12:18:19.629 [main] INFO  c.p.journalApp.JournalApplication - Starting JournalApplication using Java 21.0.8 with PID 22449 (/home/v-shivam.bhardawaj/Desktop/Springboot/journalApp/target/classes started by root in /home/v-shivam.bhardawaj/Desktop/Springboot/journalApp)
12:18:20.890 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster1"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.2.1"}, "os": {"type": "Linux", "name": "Linux", "architecture": "amd64", "version": "6.8.0-71-generic"}, "platform": "Java/Ubuntu/21.0.8+9-Ubuntu-0ubuntu124.04.1"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='shivam19bhard', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@640d604, com.mongodb.Jep395RecordCodecProvider@62cbc478, com.mongodb.KotlinCodecProvider@5438fa43]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster1.g3xg4p1.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-jtx5lc-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster1', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
12:18:20.905 [cluster-ClusterId{value='68944c3403f7a373424c77b2', description='Cluster1'}-srv-cluster1.g3xg4p1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-ih0icdn-shard-00-02.g3xg4p1.mongodb.net:27017 to client view of cluster
12:18:20.909 [cluster-ClusterId{value='68944c3403f7a373424c77b2', description='Cluster1'}-srv-cluster1.g3xg4p1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-ih0icdn-shard-00-01.g3xg4p1.mongodb.net:27017 to client view of cluster
12:18:21.145 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 5. Remaining time: 29996 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-ih0icdn-shard-00-00.g3xg4p1.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-ih0icdn-shard-00-02.g3xg4p1.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-ih0icdn-shard-00-01.g3xg4p1.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
12:18:21.427 [cluster-ClusterId{value='68944c3403f7a373424c77b2', description='Cluster1'}-ac-ih0icdn-shard-00-00.g3xg4p1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-ih0icdn-shard-00-00.g3xg4p1.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=255149784, minRoundTripTimeNanos=0, setName='atlas-jtx5lc-shard-0', canonicalAddress=ac-ih0icdn-shard-00-00.g3xg4p1.mongodb.net:27017, hosts=[ac-ih0icdn-shard-00-01.g3xg4p1.mongodb.net:27017, ac-ih0icdn-shard-00-00.g3xg4p1.mongodb.net:27017, ac-ih0icdn-shard-00-02.g3xg4p1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-ih0icdn-shard-00-02.g3xg4p1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=271, topologyVersion=TopologyVersion{processId=6891110ed6d31c7db146d663, counter=4}, lastWriteDate=Thu Aug 07 12:18:21 IST 2025, lastUpdateTimeNanos=13665803993993}
12:18:21.427 [cluster-ClusterId{value='68944c3403f7a373424c77b2', description='Cluster1'}-ac-ih0icdn-shard-00-01.g3xg4p1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-ih0icdn-shard-00-01.g3xg4p1.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=262510581, minRoundTripTimeNanos=0, setName='atlas-jtx5lc-shard-0', canonicalAddress=ac-ih0icdn-shard-00-01.g3xg4p1.mongodb.net:27017, hosts=[ac-ih0icdn-shard-00-01.g3xg4p1.mongodb.net:27017, ac-ih0icdn-shard-00-00.g3xg4p1.mongodb.net:27017, ac-ih0icdn-shard-00-02.g3xg4p1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-ih0icdn-shard-00-02.g3xg4p1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=271, topologyVersion=TopologyVersion{processId=6891129820e58114112b1a90, counter=3}, lastWriteDate=Thu Aug 07 12:18:21 IST 2025, lastUpdateTimeNanos=13665803993141}
12:18:21.427 [cluster-ClusterId{value='68944c3403f7a373424c77b2', description='Cluster1'}-ac-ih0icdn-shard-00-02.g3xg4p1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-ih0icdn-shard-00-02.g3xg4p1.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=255150078, minRoundTripTimeNanos=0, setName='atlas-jtx5lc-shard-0', canonicalAddress=ac-ih0icdn-shard-00-02.g3xg4p1.mongodb.net:27017, hosts=[ac-ih0icdn-shard-00-01.g3xg4p1.mongodb.net:27017, ac-ih0icdn-shard-00-00.g3xg4p1.mongodb.net:27017, ac-ih0icdn-shard-00-02.g3xg4p1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-ih0icdn-shard-00-02.g3xg4p1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000000f3, setVersion=271, topologyVersion=TopologyVersion{processId=6891100853c4d48334498bcb, counter=6}, lastWriteDate=Thu Aug 07 12:18:21 IST 2025, lastUpdateTimeNanos=13665803993987}
12:18:21.431 [cluster-ClusterId{value='68944c3403f7a373424c77b2', description='Cluster1'}-ac-ih0icdn-shard-00-02.g3xg4p1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-ih0icdn-shard-00-02.g3xg4p1.mongodb.net:27017 with max election id 7fffffff00000000000000f3 and max set version 271
12:18:22.012 [main] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
12:18:22.013 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR
12:18:22.353 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
12:18:22.360 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/journal'
12:18:22.367 [main] INFO  c.p.journalApp.JournalApplication - Started JournalApplication in 3.001 seconds (process running for 3.541)
12:18:59.418 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[.[localhost].[/journal] - Initializing Spring DispatcherServlet 'dispatcherServlet'
12:18:59.418 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
12:18:59.419 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
