15:19:09.754 [main] INFO  c.p.journalApp.JournalApplication - Starting JournalApplication using Java 21.0.8 with PID 33498 (/home/v-shivam.bhardawaj/Desktop/Springboot/journalApp/target/classes started by root in /home/v-shivam.bhardawaj/Desktop/Springboot/journalApp)
15:19:12.441 [cluster-ClusterId{value='6894769853b5a922ff17f253', description='Cluster1'}-srv-cluster1.g3xg4p1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-ih0icdn-shard-00-00.g3xg4p1.mongodb.net:27017 to client view of cluster
15:19:12.493 [cluster-ClusterId{value='6894769853b5a922ff17f253', description='Cluster1'}-srv-cluster1.g3xg4p1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-ih0icdn-shard-00-02.g3xg4p1.mongodb.net:27017 to client view of cluster
15:19:12.500 [cluster-ClusterId{value='6894769853b5a922ff17f253', description='Cluster1'}-srv-cluster1.g3xg4p1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-ih0icdn-shard-00-01.g3xg4p1.mongodb.net:27017 to client view of cluster
15:19:12.752 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 5. Remaining time: 29985 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-ih0icdn-shard-00-00.g3xg4p1.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-ih0icdn-shard-00-02.g3xg4p1.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-ih0icdn-shard-00-01.g3xg4p1.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
15:19:13.285 [cluster-ClusterId{value='6894769853b5a922ff17f253', description='Cluster1'}-ac-ih0icdn-shard-00-02.g3xg4p1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-ih0icdn-shard-00-02.g3xg4p1.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=437079405, minRoundTripTimeNanos=0, setName='atlas-jtx5lc-shard-0', canonicalAddress=ac-ih0icdn-shard-00-02.g3xg4p1.mongodb.net:27017, hosts=[ac-ih0icdn-shard-00-01.g3xg4p1.mongodb.net:27017, ac-ih0icdn-shard-00-00.g3xg4p1.mongodb.net:27017, ac-ih0icdn-shard-00-02.g3xg4p1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-ih0icdn-shard-00-02.g3xg4p1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000000f3, setVersion=271, topologyVersion=TopologyVersion{processId=6891100853c4d48334498bcb, counter=6}, lastWriteDate=Thu Aug 07 15:19:13 IST 2025, lastUpdateTimeNanos=22926045842079}
15:19:13.285 [cluster-ClusterId{value='6894769853b5a922ff17f253', description='Cluster1'}-ac-ih0icdn-shard-00-01.g3xg4p1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-ih0icdn-shard-00-01.g3xg4p1.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=437079654, minRoundTripTimeNanos=0, setName='atlas-jtx5lc-shard-0', canonicalAddress=ac-ih0icdn-shard-00-01.g3xg4p1.mongodb.net:27017, hosts=[ac-ih0icdn-shard-00-01.g3xg4p1.mongodb.net:27017, ac-ih0icdn-shard-00-00.g3xg4p1.mongodb.net:27017, ac-ih0icdn-shard-00-02.g3xg4p1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-ih0icdn-shard-00-02.g3xg4p1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=271, topologyVersion=TopologyVersion{processId=6891129820e58114112b1a90, counter=3}, lastWriteDate=Thu Aug 07 15:19:13 IST 2025, lastUpdateTimeNanos=22926045842287}
15:19:13.286 [cluster-ClusterId{value='6894769853b5a922ff17f253', description='Cluster1'}-ac-ih0icdn-shard-00-00.g3xg4p1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-ih0icdn-shard-00-00.g3xg4p1.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=436224192, minRoundTripTimeNanos=0, setName='atlas-jtx5lc-shard-0', canonicalAddress=ac-ih0icdn-shard-00-00.g3xg4p1.mongodb.net:27017, hosts=[ac-ih0icdn-shard-00-01.g3xg4p1.mongodb.net:27017, ac-ih0icdn-shard-00-00.g3xg4p1.mongodb.net:27017, ac-ih0icdn-shard-00-02.g3xg4p1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-ih0icdn-shard-00-02.g3xg4p1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=271, topologyVersion=TopologyVersion{processId=6891110ed6d31c7db146d663, counter=4}, lastWriteDate=Thu Aug 07 15:19:13 IST 2025, lastUpdateTimeNanos=22926045842286}
15:19:13.289 [cluster-ClusterId{value='6894769853b5a922ff17f253', description='Cluster1'}-ac-ih0icdn-shard-00-02.g3xg4p1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-ih0icdn-shard-00-02.g3xg4p1.mongodb.net:27017 with max election id 7fffffff00000000000000f3 and max set version 271
15:19:14.003 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static java.lang.String com.projectmania.journalApp.service.WeatherService.apiKey
15:19:14.129 [main] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
15:19:14.129 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR
15:19:14.886 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
15:19:14.899 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/journal'
15:19:14.909 [main] INFO  c.p.journalApp.JournalApplication - Started JournalApplication in 5.924 seconds (process running for 7.094)
15:19:24.177 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[.[localhost].[/journal] - Initializing Spring DispatcherServlet 'dispatcherServlet'
15:19:24.178 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
15:19:24.181 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
